0.01;0.694;;
0.02;0.694;;
0.03;0.691;;
0.04;0.684;;
0.05;0.674;;
0.06;0.662;;
0.07;0.65;;
0.08;0.639;;
0.09;0.629;;
0.1;0.619;;
0.11;0.611;;
0.12;0.603;;
0.13;0.596;;
0.14;0.589;;
0.15;0.583;;
0.16;0.577;;
0.17;0.572;;
0.18;0.567;;
0.19;0.562;;
0.2;0.557;;
0.21;0.553;;
0.22;0.549;;
0.23;0.545;;
0.245;0.54;;
0.268;0.538;;
0.301;0.538;;
0.351;0.538;;
0.401;0.539;;
0.451;0.539;;
0.501;0.539;;
0.551;0.539;;
0.601;0.539;;
0.651;0.54;;
0.701;0.54;;
0.751;0.541;;
0.801;0.541;;
0.851;0.542;;
0.901;0.542;;
0.951;0.543;;
1.001;0.544;;
1.051;0.545;;
1.101;0.546;;
1.151;0.547;;
1.201;0.548;;
1.251;0.55;;
1.301;0.551;;
1.351;0.553;;
1.401;0.554;;
1.451;0.556;;
1.501;0.558;;
1.551;0.561;;
1.601;0.563;;
1.651;0.566;;
1.701;0.569;;
1.751;0.572;;